codigo_municipio,numero_escolas,nome_municipio_censo,sigla_uf_censo,codigo_uf_censo,pct_escolas_urbanas,pct_escolas_rurais,pct_escolas_federais,pct_escolas_estaduais,pct_escolas_municipais,pct_escolas_privadas,pct_escolas_internet,pct_escolas_banda_larga,pct_escolas_biblioteca,pct_escolas_sala_leitura,pct_escolas_biblioteca_ou_sala_leitura,pct_escolas_lab_informatica,pct_escolas_agua_potavel,pct_escolas_agua_rede_publica,pct_escolas_energia_rede_publica,pct_escolas_esgoto_rede_publica,pct_escolas_coleta_lixo,pct_escolas_quadra_esportes,pct_escolas_patio_coberto,pct_escolas_patio_descoberto,pct_escolas_refeitorio,pct_escolas_auditorio,media_salas_utilizadas,media_equip_multimidia,media_desktop_aluno,media_notebook_aluno,media_tablet_aluno
3302254,32,Itatiaia,RJ,33,75.0,25.0,0.0,3.125,78.125,18.75,100.0,100.0,43.333333333333336,36.666666666666664,56.666666666666664,40.0,100.0,86.66666666666667,100.0,73.33333333333333,100.0,36.666666666666664,76.66666666666667,80.0,93.33333333333333,16.666666666666664,8.933333333333334,1.1666666666666667,5.3,1.8333333333333333,0.13333333333333333
3302270,62,Japeri,RJ,33,85.48387096774194,14.516129032258066,0.0,16.129032258064516,54.83870967741935,29.03225806451613,96.66666666666667,96.55172413793103,28.333333333333332,65.0,73.33333333333333,38.333333333333336,100.0,88.33333333333333,100.0,96.66666666666667,100.0,61.66666666666667,81.66666666666667,60.0,85.0,36.666666666666664,9.633333333333333,1482.5833333333333,3.6,2.6,0.13333333333333333
3302304,30,Laje do Muriaé,RJ,33,43.333333333333336,56.666666666666664,0.0,36.666666666666664,53.333333333333336,10.0,100.0,100.0,25.0,62.5,75.0,25.0,100.0,100.0,100.0,100.0,100.0,37.5,50.0,100.0,100.0,37.5,7.375,1.0,5.25,2.375,0.0
3302403,239,Macaé,RJ,33,88.70292887029288,11.297071129707113,0.41841004184100417,5.857740585774058,61.50627615062761,32.21757322175732,98.97435897435898,92.2279792746114,26.153846153846157,68.2051282051282,75.8974358974359,32.30769230769231,87.17948717948718,90.25641025641026,100.0,87.17948717948718,100.0,42.56410256410256,61.53846153846154,82.56410256410255,83.58974358974359,24.615384615384617,11.04102564102564,458.4307692307692,462.4717948717949,2.7846153846153845,0.7384615384615385
3302452,14,Macuco,RJ,33,71.42857142857143,28.57142857142857,0.0,28.57142857142857,57.14285714285714,14.285714285714285,100.0,100.0,57.14285714285714,28.57142857142857,71.42857142857143,42.857142857142854,100.0,100.0,100.0,100.0,100.0,85.71428571428571,57.14285714285714,85.71428571428571,85.71428571428571,28.57142857142857,9.857142857142858,1.5714285714285714,6.428571428571429,4.428571428571429,0.0
3302502,181,Magé,RJ,33,85.6353591160221,14.3646408839779,0.0,11.602209944751381,62.98342541436463,25.41436464088398,100.0,98.84393063583815,31.79190751445087,28.901734104046245,48.554913294797686,17.91907514450867,95.37572254335261,60.69364161849711,98.84393063583815,74.56647398843931,99.42196531791907,40.46242774566474,58.95953757225434,75.72254335260115,82.65895953757226,30.63583815028902,9.693641618497109,1.5780346820809248,3.3641618497109826,3.3641618497109826,1.6242774566473988
3302601,54,Mangaratiba,RJ,33,77.77777777777779,22.22222222222222,0.0,7.4074074074074066,79.62962962962963,12.962962962962962,96.22641509433963,94.11764705882352,18.867924528301888,69.81132075471697,71.69811320754717,28.30188679245283,100.0,71.69811320754717,100.0,62.264150943396224,100.0,30.18867924528302,66.0377358490566,77.35849056603774,92.45283018867924,9.433962264150944,8.09433962264151,0.9622641509433962,2.056603773584906,2.188679245283019,0.018867924528301886
3302700,112,Maricá,RJ,33,75.89285714285714,24.107142857142858,0.8928571428571428,8.928571428571429,58.92857142857143,31.25,100.0,96.26168224299066,38.31775700934579,42.05607476635514,64.48598130841121,23.364485981308412,72.89719626168224,54.20560747663551,98.13084112149532,38.31775700934579,100.0,60.747663551401864,75.70093457943925,83.17757009345794,80.37383177570094,11.214953271028037,11.738317757009346,1.6635514018691588,6.224299065420561,16.635514018691588,49.16822429906542
3302809,19,Mendes,RJ,33,100.0,0.0,0.0,21.052631578947366,68.42105263157895,10.526315789473683,100.0,100.0,11.76470588235294,23.52941176470588,35.294117647058826,29.411764705882355,100.0,82.35294117647058,100.0,76.47058823529412,100.0,58.82352941176471,52.94117647058824,76.47058823529412,82.35294117647058,17.647058823529413,9.705882352941176,1.0588235294117647,2.235294117647059,4.0588235294117645,0.17647058823529413
3302908,48,Miguel Pereira,RJ,33,75.0,25.0,0.0,12.5,72.91666666666666,14.583333333333334,95.23809523809523,95.0,33.33333333333333,30.952380952380953,50.0,28.57142857142857,100.0,85.71428571428571,100.0,76.19047619047619,100.0,26.190476190476193,33.33333333333333,90.47619047619048,88.09523809523809,19.047619047619047,5.880952380952381,1.2142857142857142,3.5,2.6904761904761907,0.023809523809523808
