ano_avaliacao,codigo_uf,sigla_uf,codigo_municipio,nome_municipio,rede,pct_alfabetizados_2023,pct_alfabetizados_2024,variacao_2023_2024_pp,meta_2024,gap_meta_2024_pp,atingiu_meta_2024,meta_2025,meta_2026,meta_2027,meta_2028,meta_2029,meta_2030,nivel_alfabetizacao,pct_participacao,ranking_amostra_brasil_2024,ranking_amostra_uf_2024
2024.0,29.0,BA,2910404.0,Encruzilhada,MUNICIPAL,41.9,37.25,-4.649999999999999,47.92,-10.670000000000002,0,54.03,60.03,65.74,71.02,75.79,80.0,0,94.44444444444444,4443,157
2024.0,43.0,RS,4323358.0,Vila Lângaro,MUNICIPAL,71.2,52.9,-18.300000000000004,72.6,-19.699999999999996,0,73.94,75.24,76.5,77.71,78.88,80.0,2,100.0,3428,193
2024.0,41.0,PR,4106100.0,Conselheiro Mairinck,MUNICIPAL,51.5,69.16,17.659999999999997,56.22,12.939999999999998,1,60.81,65.22,69.39,73.25,76.8,80.0,3,89.0909090909091,2039,267
2024.0,35.0,SP,3541505.0,Presidente Venceslau,MUNICIPAL,60.1,76.57000000000001,16.470000000000006,63.36,13.210000000000008,1,66.54,69.58,72.45,75.15,77.67,80.0,4,96.21212121212122,1356,113
2024.0,26.0,PE,2612554.0,Santa Filomena,MUNICIPAL,58.9,53.14,-5.759999999999998,62.41,-9.269999999999996,0,65.78,69.0,72.05,74.9,77.55,80.0,2,91.83673469387756,3414,143
2024.0,41.0,PR,4106456.0,Coronel Domingos Soares,MUNICIPAL,78.3,62.47,-15.829999999999998,78.53,-16.060000000000002,0,78.78,79.03,79.28,79.52,79.76,80.0,3,82.97872340425532,2638,312
2024.0,22.0,PI,2210102.0,São José do Peixe,MUNICIPAL,76.0,75.0,-1.0,76.6,-1.5999999999999943,0,77.2,77.78,78.35,78.91,79.46,80.0,4,100.0,1497,77
2024.0,21.0,MA,2104305.0,Godofredo Viana,MUNICIPAL,83.0,88.4,5.400000000000006,80.0,8.400000000000006,1,80.0,80.0,80.0,80.0,80.0,80.0,5,95.75757575757576,468,15
2024.0,15.0,PA,1500909.0,Augusto Corrêa,MUNICIPAL,38.6,43.99,5.390000000000001,44.99,-1.0,0,51.58,58.13,64.39,70.21,75.43,80.0,1,83.38762214983714,4055,85
2024.0,25.0,PB,2513901.0,São Bento,MUNICIPAL,42.5,46.87,4.369999999999997,48.44,-1.5700000000000003,0,54.46,60.36,65.97,71.16,75.86,80.0,1,87.6984126984127,3863,150
2024.0,43.0,RS,4317103.0,Sant'Ana do Livramento,MUNICIPAL,49.8,44.5,-5.299999999999997,54.72,-10.219999999999999,0,59.6,64.3,68.74,72.86,76.62,80.0,1,76.85950413223141,4018,275
2024.0,31.0,MG,3108701.0,Brás Pires,MUNICIPAL,53.7,81.16,27.459999999999994,58.04,23.119999999999997,1,62.28,66.34,70.17,73.74,77.02,80.0,5,97.36842105263158,951,253
2024.0,31.0,MG,3127354.0,Glaucilândia,MUNICIPAL,57.1,71.43,14.330000000000005,60.93,10.500000000000007,1,64.6,68.1,71.41,74.5,77.37,80.0,4,93.33333333333331,1807,491
2024.0,24.0,RN,2408607.0,Paraná,MUNICIPAL,,27.59,,,,,36.07,45.49,55.26,64.63,73.0,80.0,0,89.74358974358975,4813,127
2024.0,41.0,PR,4110201.0,Inácio Martins,MUNICIPAL,73.4,70.03,-3.3700000000000045,74.45,-4.420000000000002,0,75.44,76.4,77.34,78.26,79.14,80.0,4,90.1840490797546,1956,257
2024.0,52.0,GO,5200605.0,Alto Paraíso de Goiás,MUNICIPAL,82.9,60.2,-22.700000000000003,80.0,-19.799999999999997,0,80.0,80.0,80.0,80.0,80.0,80.0,3,98.46153846153848,2822,214
2024.0,29.0,BA,2900355.0,Adustina,MUNICIPAL,44.7,42.45,-2.25,50.37,-7.919999999999995,0,56.06,61.59,66.83,71.69,76.09,80.0,1,95.86206896551724,4148,105
2024.0,52.0,GO,5201207.0,Anhanguera,MUNICIPAL,80.0,81.25,1.25,80.0,1.25,1,80.0,80.0,80.0,80.0,80.0,80.0,5,94.11764705882352,943,110
