codigo_uf,sigla_uf,codigo_municipio,nome_municipio,pct_alfabetizados,ano
15.0,PA,1502806.0,Curralinho,25.1,2023
15.0,PA,1502806.0,Curralinho,24.03,2024
15.0,PA,1502855.0,Curuá,37.5,2023
15.0,PA,1502855.0,Curuá,42.47,2024
15.0,PA,1502905.0,Curuçá,30.8,2023
15.0,PA,1502905.0,Curuçá,33.480000000000004,2024
15.0,PA,1502939.0,Dom Eliseu,59.3,2023
15.0,PA,1502939.0,Dom Eliseu,69.24,2024
15.0,PA,1502954.0,Eldorado do Carajás,52.9,2023
15.0,PA,1502954.0,Eldorado do Carajás,50.59,2024
15.0,PA,1503002.0,Faro,51.1,2023
15.0,PA,1503002.0,Faro,51.79,2024
15.0,PA,1503044.0,Floresta do Araguaia,47.8,2023
15.0,PA,1503044.0,Floresta do Araguaia,67.37,2024
15.0,PA,1503077.0,Garrafão do Norte,38.0,2023
15.0,PA,1503077.0,Garrafão do Norte,32.89,2024
15.0,PA,1503093.0,Goianésia do Pará,46.1,2023
15.0,PA,1503093.0,Goianésia do Pará,42.29,2024
15.0,PA,1503200.0,Igarapé-Açu,32.8,2023
15.0,PA,1503200.0,Igarapé-Açu,40.43,2024
15.0,PA,1503309.0,Igarapé-Miri,36.7,2023
15.0,PA,1503309.0,Igarapé-Miri,41.34,2024
15.0,PA,1503408.0,Inhangapi,21.8,2023
15.0,PA,1503408.0,Inhangapi,45.41,2024
15.0,PA,1503457.0,Ipixuna do Pará,39.7,2023
15.0,PA,1503457.0,Ipixuna do Pará,42.95,2024
15.0,PA,1503507.0,Irituia,45.3,2023
15.0,PA,1503507.0,Irituia,49.64,2024
15.0,PA,1503606.0,Itaituba,61.0,2023
15.0,PA,1503606.0,Itaituba,59.22,2024
15.0,PA,1503705.0,Itupiranga,42.7,2023
15.0,PA,1503705.0,Itupiranga,44.08,2024
15.0,PA,1503754.0,Jacareacanga,,2023
15.0,PA,1503754.0,Jacareacanga,24.95,2024
15.0,PA,1504000.0,Limoeiro do Ajuru,47.6,2023
15.0,PA,1504000.0,Limoeiro do Ajuru,47.82,2024
15.0,PA,1504059.0,Mãe do Rio,45.5,2023
15.0,PA,1504059.0,Mãe do Rio,46.97,2024
15.0,PA,1504109.0,Magalhães Barata,54.0,2023
15.0,PA,1504109.0,Magalhães Barata,60.05,2024
15.0,PA,1504208.0,Marabá,51.5,2023
15.0,PA,1504208.0,Marabá,50.68,2024
15.0,PA,1504307.0,Maracanã,68.1,2023
15.0,PA,1504307.0,Maracanã,47.51,2024
15.0,PA,1504406.0,Marapanim,28.7,2023
15.0,PA,1504406.0,Marapanim,45.42,2024
15.0,PA,1504455.0,Medicilândia,49.0,2023
15.0,PA,1504455.0,Medicilândia,48.44,2024
15.0,PA,1504505.0,Melgaço,38.0,2023
15.0,PA,1504505.0,Melgaço,28.64,2024
15.0,PA,1504703.0,Moju,32.1,2023
15.0,PA,1504703.0,Moju,34.29,2024
15.0,PA,1504802.0,Monte Alegre,54.0,2023
15.0,PA,1504802.0,Monte Alegre,46.69,2024
15.0,PA,1504901.0,Muaná,36.2,2023
15.0,PA,1504901.0,Muaná,33.63,2024
15.0,PA,1504950.0,Nova Esperança do Piriá,35.6,2023
15.0,PA,1504950.0,Nova Esperança do Piriá,50.02,2024
15.0,PA,1505007.0,Nova Timboteua,50.3,2023
15.0,PA,1505007.0,Nova Timboteua,51.68,2024
15.0,PA,1505031.0,Novo Progresso,61.4,2023
15.0,PA,1505031.0,Novo Progresso,56.8,2024
